subjectID,wave,excluded_run,ROC1,ROC2,ROC3,ROC4,SST1,WTP1,WTP2,WTP3,WTP4
DEV048,1,FALSE,0,0.7,0,NA,0,0,0,NA,0
DEV048,1,TRUE,NA,NA,NA,NA,NA,NA,NA,29,NA
DEV049,1,FALSE,0,1.4,2.8,2.1,0,0,0,0,0
DEV050,1,FALSE,1.4,0,7.1,1.4,0.5,2.2,0,2.2,0
DEV051,1,FALSE,0,0,0,0,0,0,0,0,0
DEV052,1,FALSE,0,0.7,0,4.1,0,0,0,0,2.2
DEV053,1,FALSE,0.7,0,0.7,0,2.4,0,0,1.1,0
DEV054,1,FALSE,0,1.4,2.1,0.7,0,0,2.2,0,3.2
DEV055,1,FALSE,7.1,NA,9.9,NA,NA,1.1,0,2.2,5.4
DEV055,1,TRUE,NA,12.1,NA,17,10.4,NA,NA,NA,NA
DEV056,1,FALSE,0,2.1,2.8,3.5,1.4,0,4.3,0,0
DEV057,1,FALSE,0,0,0,0,0.5,0,0,0,0
DEV058,1,FALSE,0,0,0,0,0,1.1,0,0,0
DEV059,1,FALSE,0,0,0,0.7,0,0,1.1,3.2,5.4
DEV060,1,FALSE,0,0,2.1,1.4,0,0,0,5.4,2.2
DEV061,1,FALSE,0,0,0,0,NA,0,0,0,0
DEV062,1,FALSE,0,0,2.8,2.1,0,0,0,1.1,0
DEV063,1,FALSE,0.7,0.7,0,0.7,0,8.6,7.5,NA,NA
DEV063,1,TRUE,NA,NA,NA,NA,NA,NA,NA,11.8,11.8
DEV064,1,FALSE,0,1.4,0,0.7,1.9,5.4,2.2,0,1.1
DEV065,1,FALSE,0,0,0,0,0,0,0,0,0
DEV066,1,FALSE,2.1,9.9,6.4,5.7,0,0,0,3.2,2.2
DEV067,1,FALSE,7.1,2.1,2.8,NA,NA,7.5,7.5,NA,NA
DEV067,1,TRUE,NA,NA,NA,10.6,16,NA,NA,10.8,16.1
DEV068,1,FALSE,0,0.7,2.1,0.7,0,0,0,0,0
DEV069,1,FALSE,1.4,0.7,0,0.7,0.5,NA,5.4,1.1,3.2
DEV069,1,TRUE,NA,NA,NA,NA,NA,18.3,NA,NA,NA
DEV070,1,FALSE,1.4,2.8,0.7,0,0.5,0,1.1,0,1.1
DEV071,1,FALSE,0,0,0,0,1.4,0,0,0,0
DEV072,1,FALSE,0,0,0,0,0,0,0,0,0
DEV073,1,FALSE,0,0,1.4,0,0,0,0,0,0
DEV074,1,FALSE,0,0,0,0,0,0,0,0,0
